Channel,Video_ID,Author,Comment,Likes,Published_At
Dr. Sharif Dolan,881d3WtIQ9I,@FarzanaAkther-o4m,"স্যার,জন্মের পর সব টিকা নেওয়া থাকলেও কি হাম এর ভ্যাকসিন নিতে হবে",1,2026-03-31T14:33:27Z
Dr. Sharif Dolan,881d3WtIQ9I,@mdnahiduzzaman7733,আমার বাচ্চার বয়স ৬ মাস ওর কি টিকা দেওয়া যাবে,1,2026-03-30T17:50:31Z
Dr. Sharif Dolan,881d3WtIQ9I,@mabiaafrin-i5i,"স্যার আমার ছেলের আজ তিন দিন ঠান্ডা লেগেছে,, আজ সকালে লক্ষ্য করছি চোয়ালে সাদা রেশ উঠছে কিন্তু জ্বর কাশি কিছু নেই এটা কি হামের লক্ষন",1,2026-03-31T06:35:43Z
Dr. Sharif Dolan,881d3WtIQ9I,@IkramKhan-g6u6n,আমার বাচ্চাকে হামের টিকা দেয়নি সমস্যা হবে নি?,0,2026-05-04T12:29:29Z
Dr. Sharif Dolan,881d3WtIQ9I,@Mitilakhan-d5u,"সার আমার ছেলের বয়স ৩বছর,জর ছিল তিন দিন আগে,এখন জর নাই,,কাল থেকে শরিরে কিছু জায়গায় রেশ বের হইচে,,সামান্য চুলকানি আছে,,আর কোনো সমস্যা নেই,, এটা কি হাম,,বলেন প্লিজ,,না এলার্জি",1,2026-04-30T09:51:06Z
Dr. Sharif Dolan,881d3WtIQ9I,@lilihosain6576,চিকিৎসা বলেন,1,2026-04-01T10:29:24Z
Dr. Sharif Dolan,881d3WtIQ9I,@MdThamid-b3f9n,জর চাড়া  হাম হয়ে ঘামাচির মতো,1,2026-04-02T18:11:03Z
Dr. Sharif Dolan,881d3WtIQ9I,@RatnaBegum-q3k,হাম,0,2026-05-11T11:41:12Z
Dr. Sharif Dolan,881d3WtIQ9I,@SultanShaon-r7q,কত বছর বয়সে হামের ঝুঁকি থাকে বেশি,1,2026-03-30T16:11:14Z
Dr. Sharif Dolan,881d3WtIQ9I,@vhjkvcgykh,তুমরা সুনার ডক্টর,0,2026-04-14T07:00:59Z
Deepto News,4A5f1IEIVQo,@SharifHossain-m9y,আল্লাহ সবাইকেই হেফাজতে রাখুন🤲🤲🤲,0,2026-04-02T08:58:51Z
Channel 24,WVYxhkWhrpg,@AbdulGafur-dx9fm,হামের টিকার অভাবে মারা যাওয়া প্রতিটি শিশুর হত্যার দায় ইউনুছ ও তার সহযোগী উপদেষ্টা পরিষদ বিএনপি জামাত এনসিপি সবাইকে এই দায় নিতে হবে কারন তারা এই ১৮ মাস মিলেমিশে সরকার চালিয়েছিল।,8,2026-05-10T17:06:28Z
Channel 24,WVYxhkWhrpg,@shahadatsatter7363,দায় ভার ইউনুস গং থেকে বর্তমানে যারা আছে তাদের নিতে হবে। কারণ তখনও তারা ওতোপ্রোতো ভাবে জড়িত ছিলো। এখন ক্রিমিনাল ডা: জোবায়দা রহমান ও অদ্ভুত বিরক্তিকর প্রাণী জাইমা কিছু বলে না। যদিও এদের স্বাস্থ্যমন্ত্রী হাম হলে নাকি আয়ু বাড়ে। আর অন্যান্য মন্ত্রীরা বিভিন্ন বিষয়ে উদ্ভট কথা বলে যাচ্ছেন। আর খাম্বা তো আছেই।,10,2026-05-10T16:57:09Z
Channel 24,WVYxhkWhrpg,@sadarontv5046,"শিশু মারা যাচ্ছে না, দেশের ভবিষ্যৎ মারা যাচ্ছে। এটা পরিকল্পনা করে করা হয়েছে 😡😡😡😡",5,2026-05-10T17:36:24Z
Channel 24,WVYxhkWhrpg,@hamim4466,সঠিক বিচার চাই,0,2026-05-11T01:38:47Z
Channel 24,WVYxhkWhrpg,@sultanaafrin4308,"আমাদের ভাগ্নীর মেয়েটাও চলে গেল৷ <br>সদর হসপিটালগুলো দেখলে মনে হয়, আরো মৃত্যু ফাদ 😭",0,2026-05-11T09:51:40Z
Channel 24,WVYxhkWhrpg,@adhibaislamlima-5944,"একদিকে শিশু রা মারা যাচ্ছে আরেক দিকে নেতায়,বউ নিয়ে ভাইরাল হওয়া নিয়ে ব্যস্ত।হায় আল্লাহ এই দেশে জন্ম নেওয়াটাই হয়ত ভুল আমাদের কারন প্রতি দিন এখন কোন না কোন খবর আসছে।<br>এই এগুলোর দায় কে নিবে???",1,2026-05-10T19:42:47Z
Channel 24,WVYxhkWhrpg,@provashroy9751,দেখ কেমন লাগে।,1,2026-05-10T17:48:07Z
ATN News,2-BlcSzczVI,@ranavai6220,"ছোট বাচ্ছার স্কুল বন্দ রাখা দরকার,,,,,একজন শিশু স্কুলে নিলে কুলে ছোট বাচ্ছা আর একজন কোলে থাকে,,,,",9,2026-03-31T05:53:26Z
ATN News,2-BlcSzczVI,@MdFerdaus-o2h,পরীক্ষা বাদ করে দেওয়া হক,3,2026-03-31T13:57:08Z
Rtv News,tcnNlBh6yn4,@dalimmohammed7568,এ দ্বায় কার???😢,1,2026-04-02T05:22:57Z
Rtv News,tcnNlBh6yn4,@Mdmithu-w6w,হোমিওপ্যাথি চিকিৎসা নিলে ভালো হয়,0,2026-04-02T05:27:22Z
Rtv News,tcnNlBh6yn4,@SaifulIslam-zd6fg,"হামের টিকা দেয়া নিয়ে যারা সাধারণ মহিলাদের নিরুৎসাহিত করেছে তদন্ত করে অবিলম্বে দোষীদের দৃষ্টান্তমূলক শাস্তির আওতায় আনা হোক। না হলে জনগনের মাঝে ছেড়ে দেয়া হোক। <a href=""https://www.youtube.com/watch?v=DyTERsFRXXw&amp;t=1"">https://www.youtube.com/watch?v=DyTERsFRXXw&amp;t=1s</a>",0,2026-04-02T09:35:03Z
Channel 24,kdzQ7QMzhsE,@FahimArfinShohag,আল্লাহ এই নিষ্পাপ শিশুদের সুস্থতা দিক 🤲 🥺,34,2026-03-31T02:16:42Z
